NAMA_PERUSAHAAN,JUMLAH_ASET,JUMLAH_LIABILITAS,JUMLAH_EKUITAS,PENDAPATAN,LABA_BRUTO,LABA_SEBELUM_PAJAK,LABA_SETELAH_PAJAK,ARUS_KAS_DARI_AKTIVITAS_OPERASI,ARUS_KAS_DARI_AKTIVITAS_INVESTASI,ARUS_KAS_DARI_AKTIVITAS_PENDANAAN,KAS_DAN_SETARA_KAS_PADA_AKHIR_PERIODE,LABA_PER_SAHAM,,,
AALI,29694011000000,9114312000000,20579699000000,18014469000000,3611195000000,2224309000000,1544117000000,4138836000000,-680679000000,-632901000000,3874116000000,763.3400000000,,,
ABBA,9369832914391,2535403947513,116498156178,117404332004,57957556926,-31097907492,-32044132814,7203480979,-326712457,-18059668244,15541625679,-6.8100000000,,,
ABDA,2498535945000,1050083696000,1448452249000,454629102000,145330661000,145330661000,116054894000,-74257145000,-192951070000,-41594047000,343281434000,187.0000000000,,,
ABMM,8952276198992,2426087210691,274245966,702816485,229070324,149130255,108723150,218308606,-19840593,-68764538,238314637,490.8731700000,,,
ACES,11039550065978,3811652557930,4995633159473,4694129014098,2305492006204,391941874851,323811133930,321177466773,-56965381274,-635120622703,1848281077364,18.8700000000,,,
ACST,3022321000000,1608101000000,1414220000000,1080619000000,70573000000,-393779000000,-389686000000,4138836000000,-680679000000,-632901000000,3874116000000,-60.0000000000,,,
ADCP,5978673938137,3878478491633,2100195446504,563688066425,146807614860,130363628274,130360626634,-164389068475,-292989543188,456745074117,60530437116,6.0000000000,,,
ADES,1149089000000,305728000000,843361000000,616073000000,311512000000,181336000000,142853000000,195109000000,-109759000000,-2892000000,421189000000,242.0000000000,,,
ADHI,40758889387585,35161038457220,5597850930365,7350758203649,1085430958305,188512771695,23010483007,-1532995760425,-119303314743,913882831372,1625232821238,4.7796874333,,,
ADMF,24021581000000,15727374000000,8294207000000,6270841000000,997954000000,997954000000,753275000000,3017679000000,-54199000000,-5637021000000,1553868000000,753.0000000000,,,
ADMG,3056990820026,576473051527,2480517768499,2044859271944,1983472821,64925685600,61763308059,76004139101,-12583991589,0,221094214302,15.7377000000,,,
ADRO,101842834344000,39980668281000,61862166063000,36756371226000,13888863618000,9768690837000,7520145489000,12115854336000,-7561435491000,296956092000,21616746747000,143.0700000000,,,
