NAMA_PERUSAHAAN','LABA_PER_SAHAM','CURRENT_RATIO','DEBT_RATIO','DEBT_TO_EQUITY_RATIO,ROA,ROE,NPM
AALI,763.3400000000,3.257954193,0.306941087,0.442878781,0.052000957,0.075031078,0.085715377
ACES,18.8700000000,2.896263471,0.345272455,0.762996889,0.029331914,0.064818837,0.068982155
ADHI,4.7796874333,1.159206075,0.862659385,6.281167343,0.000564551,0.004110592,0.003130355
ADRO,143.0700000000,2.547301952,0.392572227,0.646286266,0.073840693,0.121562919,0.204594339
AGII,56.6800000000,1.789375885,0.558854072,1.2668236,0.022217102,0.05036225,0.08621347
AKRA,201.9000000000,2.060477383,0.485324424,0.942971549,0.03924712,0.076256037,0.04848891
AMRT,26.6600000000,0.743985169,1.344112815,2.189101023,0.083399715,0.135829671,0.018029607
ANTM,71.1800000000,2.570112463,0.389088032,0.636897053,0.051363861,0.084077352,0.064603534
APLN,-20.4800000000,1.559074439,0.641406192,1.788670577,-0.010253946,-0.028594878,-0.107297339
ASII,370.0000000000,2.372670523,0.421466019,0.728506938,0.052504148,0.090753784,0.113606767
ASRI,-7.0700000000,1.741781471,0.574124835,1.348105931,-0.006568891,-0.015424453,-0.080453653
ASSA,22.5500000000,1.587040527,0.630103632,1.703459904,0.011788288,0.031869163,0.019972208
BBCA,941.0000000000,1.203785598,0.830712713,4.907118114,0.019851013,0.117262279,0.355964262
BBNI ,416.0000000000,1.153376539,0.867019543,6.519901972,0.008453315,0.063568102,0.145788357
BBRI ,154.0000000000,1.209245963,0.82696162,4.779064726,0.011773279,0.068038541,0.173258812
BBTN ,143.0000000000,1.059212952,0.944097217,16.88819693,0.004117302,0.073651115,0.074411748
BDMN ,144.1600000000,1.311840483,0.762287803,3.206767738,0.007800577,0.032815218,0.090940552
BEST,-9.4000000000,3.378082429,0.296025932,0.420506871,-0.014958999,-0.021249361,-0.771724899
BFIN ,53.0000000000,1.964355836,0.509072736,1.036961631,0.054353522,0.110716038,0.266894843
BJBR ,144.2200000000,1.084402941,0.922166441,11.84792843,0.008870366,0.113965825,0.128866981
BJTM ,78.9400000000,1.136977686,0.879524737,8.415822869,0.01173628,0.112299806,0.225484406
BMRI ,412.3600000000,1.149337518,0.870066437,6.696240912,0.012853594,0.098924354,0.198846845
BMTR,59.3000000000,3.176396961,0.314822112,0.459475003,0.054776393,0.079944777,0.182113004
BNGA ,126.3800000000,1.168242537,0.855986637,5.943800052,0.010660948,0.074027493,0.175421443
BRIS ,54.8800000000,1.10629761,0.9039159,9.4075492,0.008991314,0.093577548,0.013131878
BRPT ,15.2766667308,1.919784794,0.520891718,1.087210842,0.030621394,0.063913305,0.116939423
BSDE ,44.5100000000,2.434010336,0.410844599,0.697345043,0.017177621,0.029156349,0.199798975
BTPS,142.0000000000,1.606877068,0.622325142,1.647780173,0.061597306,0.163096126,0.317963684
CPIN,163.0000000000,3.288901093,0.304052926,0.436890874,0.077027852,0.110680617,0.071158481
CTRA,55.0000000000,1.865180901,0.536141025,1.155827641,0.031666935,0.068268454,0.190771236
DMAS,13.1700000000,9.496585481,0.105301006,0.117694338,0.097618266,0.109107383,0.485575575
DOID,-26.4679500000,1.216882501,0.821772028,4.610791539,-0.011567691,-0.064903903,-0.026984548
DSNG,39.2300000000,1.876822592,0.532815411,1.140481562,0.030374442,0.065015933,0.08396543
ELSA,5.1500000000,2.107845644,0.47441804,0.902652825,0.005315528,0.010113604,0.006566213
ESSA,8.0119200000,1.558691444,0.641563796,1.78989675,0.009518417,0.0265554,0.032121855
ERAA,45.0000000000,2.250187915,0.444407328,0.799879752,0.071819613,0.129266668,0.025634272
EXCL,95.0000000000,1.406488214,0.710990671,2.460095925,0.014819548,0.051277059,0.051332782
