NAMA PERUSAHAAN,CURRENT RATIO,DEBT RATIO ,DEBT TO EQUITY RATIO,ROA,ROE,NPM,EPS
NOBU,1.10489702,0.905061722,9.533159247,0.002810848,0.029607115,0.0612215,10
NPGF,2.113156679,0.473225677,0.898346135,0.011975174,0.022733025,0.022526688,1
NRCA,2.076662292,0.481541945,0.928796344,0.007399932,0.014272962,0.015783697,7
NZIA,5.004137612,0.199834632,0.249741666,0.003150482,0.003937289,0.024828078,0
OASA,39.04559217,0.025611086,0.026284254,0.021257962,0.021816712,0.310698456,3
OILS,2.288615351,0.436945422,0.776026764,0.030404326,0.053998897,0.016078613,17
OKAS,0.993849477,1.006188586,-162.5878032,-0.025945227,4.192432228,-0.054385852,-31
OMRE,5.875478024,0.170198918,0.205108093,-0.034760558,-0.04189023,-3.021494803,-82
OPMS,121.0883962,0.00825843,0.008327199,-0.005040269,-0.00508224,-0.014534357,0
PADI,10.20722254,0.097969844,0.108610387,-0.173537513,-0.192385489,-9.046517564,-4
PALM,28.6217848,0.034938422,0.036203309,0.050421088,0.052246498,0.80105756,30
PAMG,3.797231533,0.263349757,0.357496327,-0.015471756,-0.021002852,-0.283860479,-3
PANI,1.965079402,0.508885289,1.036184171,0.012332895,0.025112046,0.005422898,25
PANR,1.644665892,0.608026229,1.551191109,-0.080235575,-0.204696284,-2.230599947,-114
PANS,2.04986987,0.487835845,0.952498998,0.036929964,0.072105718,0.318179588,135
PBID,4.52154947,0.221163123,0.28396591,0.121951181,0.156581159,0.099754991,171
PBSA,5.208084134,0.192009187,0.237637834,0.057527568,0.071198294,0.252739886,26
PCAR,2.555530733,0.391308149,0.642867401,0.023771851,0.039054,0.023590228,2
PDES,1.270939681,0.786819402,3.690858407,-0.090717989,-0.425545241,-6.062101845,-39
PEGE,8.354186542,0.119700463,0.13597697,-0.164286208,-0.186625349,1.141370586,-28
PEHA,1.635761179,0.611336186,1.572917682,0.005821868,0.014979188,0.01448712,13
PGAS,0.516962884,1.934374846,1.292216574,0.150124799,0.10028757,0.146376,143
PGLI,3.067804204,0.325966044,0.483604781,0.075316601,0.111740069,0.736840981,16
PGUN,1.753447728,0.570304996,1.327232086,-0.00100544,-0.002339891,-0.003106667,0
PICO,1.22795602,0.814361413,4.386811098,-0.028491487,-0.153478257,-0.09634714,56
PJAA,1.651403762,0.605545429,1.535146186,-0.048786605,-0.123681175,-0.792729788,-121
PKPK,2.300461125,0.434695457,0.768958011,-0.037871107,-0.066992399,-1.218828669,-4
PLIN,10.53318883,0.094938011,0.104896695,0.031966915,0.035320139,0.611841045,107
PMJS,3.417564448,0.29260604,0.413639438,0.037944501,0.053639844,0.019163789,8
PMMP,1.391872912,0.718456399,2.55184773,0.032994868,0.117192748,0.066298639,52
PNBN,1.31691062,0.759352977,3.155463833,0.011474503,0.047681882,0.174304297,94
PNBS,13.9775116,0.071543493,0.282013951,0.00020035,0.000789749,0.002273795,0
PNGO,1.836100056,0.544632629,1.196029103,0.120919285,0.265542269,0.113906585,225
PNIN,7.524162854,0.132905151,0.153510935,0.040010804,0.04621413,0.6233539,193
PNLF,7.081217329,0.141218657,0.16449096,0.043933334,0.051173382,0.433266696,42
PNMP,1.187230423,0.842296474,5.341012332,0.013526057,0.085768893,0.086678152,183139
PNSE,1.801396003,0.555125024,1.247822545,-0.114336857,-0.257008965,-1.17998062,-40
POLA,77.69854306,0.012870254,0.013038057,-0.022673478,-0.022969096,-0.576066648,2
POLI,3.288088852,0.304128035,0.437045965,0.003509118,0.005042764,0.066361992,5
POLL,1.309090469,0.763889146,3.235298722,0.022372714,0.094755129,0.257863967,9
POLU,2.924383802,0.34195238,0.51964686,-0.093708461,-0.142403769,-0.27538789,-27
POLY,0.194720802,5.135558137,-1.24180533,-0.015046501,0.003638324,-0.01325055,-14
POOL,16.80469822,0.059507168,0.063272325,-0.232185778,-0.246876712,-4.398308074,-47
PORT,1.709186236,0.58507375,1.410066848,-0.035738806,-0.086132912,-0.073470112,-16
POSA,1.062687581,0.941010338,15.95212294,-0.071148335,-1.206115317,-1.701519394,-8
POWR,2.039220098,0.490383555,0.962260066,0.048434005,0.095040113,0.172389552,60
PPGD,1.644537116,0.60807384,1.55150103,0.030556354,0.077964569,0.131017806,0
PPLN,2.471354961,0.404636329,0.679645651,0.007749118,0.013015772,0.046138568,91526
PPRE,1.721261329,0.580969306,1.386460026,0.015369242,0.036678081,0.056929583,6
