NAMA PERUSAHAAN,LABA_PER_SAHAM,CURRENT RATIO,DEBT RATIO ,DEBT TO EQUITY RATIO,ROA,ROE,NPM,Volume,Nilai,Frekuensi,Harga Terakhir,Rasio EPS
SRTG,1032.0000000000,11.70872662,0.085406384,0.093381784,0.284822142,0.311419341,0.957081543,23518200,44626065500,4264,"1,895",0.544591029
SMDR,225.1162014741,1.873388406,0.533792137,1.144965966,0.114255443,0.245074037,0.174051435,10445200,7012915500,1892,665,0.338520604
PNLF,41.5400000000,7.081217329,0.141218657,0.16449096,0.043933334,0.051173382,0.433266696,29400600,5276675100,1183,180,0.230777778
MLIA,324.7500000000,2.095035345,0.477318916,0.913212532,0.07224122,0.138212807,0.134700291,12174700,16082085000,1081,"1,410",0.230319149
BMTR,59.3000000000,3.176396961,0.314822112,0.459475003,0.054776393,0.079944777,0.182113004,29086400,7667294400,1842,264,0.224621212
ISSP,63.0600000000,2.226318954,0.449171938,0.815448539,0.064876193,0.117779389,0.116796296,97969700,30096503000,9079,306,0.206078431
CSRA,87.0000000000,1.857138118,0.538462913,1.166673118,0.109842691,0.237993205,0.273701993,13543900,5756988200,2458,428,0.203271028
SMMT,38.2500000000,3.470208304,0.288167139,0.404824159,0.131622305,0.184906194,0.392882804,85742900,16120993300,5683,190,0.201315789
ENRG,22.4619900000,1.667024368,0.599871255,1.499195603,0.016815198,0.042024468,0.060788383,399000100,52053883200,3526,128,0.175484297
ITMG,3576.7557675000,3.200651359,0.312436404,0.454410916,0.179847899,0.261572747,0.205149829,10377800,214362080000,8692,"20,800",0.171959412
ISAT,1067.4100000000,1.368749357,0.730593951,2.711869137,0.08398688,0.311748308,0.254438737,4892000,32312755000,2828,"6,650",0.160512782
PTBA,426.0000000000,2.882596512,0.34690946,0.531181267,0.150767696,0.230852671,0.250409108,10377800,"221,681,929,000",8692,"2,760",0.154347826
MNCN,127.2000000000,5.963190447,0.167695466,0.201483302,0.089901076,0.108014642,0.255970226,38666600,32048052500,3004,835,0.152335329
MBAP,572.8400000000,2.924014537,0.341995564,0.519746593,0.216916086,0.329657482,0.246508034,1345700,5327233000,1109,"3,960",0.144656566
PNBN,93.7300000000,1.31691062,0.759352977,3.155463833,0.011474503,0.047681882,0.174304297,11540300,8565665500,922,745,0.125812081
PGAS,143.0700000000,0.516962884,1.934374846,1.292216574,0.150124799,0.10028757,0.146376,137617500,165003429000,12578,"1,190",0.120226891
INKP,1022.0927944000,2.15555963,0.463916649,0.865381564,0.04534792,0.084591174,0.155899532,41874400,348737977500,22923,"8,575",0.119194495
SSMM,107.9200000000,1.727738811,0.578791189,1.374119375,0.077212029,0.183310574,0.280350057,17174900,15293335000,2410,915,0.117945355
PMMP,51.5052000000,1.391872912,0.718456399,2.55184773,0.032994868,0.117192748,0.066298639,11256800,5050598200,1421,448,0.114966964
BJTM ,78.9400000000,1.136977686,0.879524737,8.415822869,0.01173628,0.112299806,0.225484406,7598600,5473471500,1782,720,0.109638889
WOOD,74.6000000000,2.128705507,0.469769067,0.885970692,0.054870047,0.103483301,0.101105644,24996600,17157569500,1409,685,0.108905109
WIIM,51.8200000000,3.540296733,0.282462199,0.393654799,0.062776974,0.087489432,0.057108316,12406000,6054794800,2042,492,0.105325203
TKIM,806.9148000000,2.155888591,0.463845861,0.86513528,0.055976007,0.104402825,0.235944823,23877100,185841125000,15041,"7,950",0.101498717
BBTN,143.0000000000,1.059212952,0.944097217,16.88819693,0.004117302,0.073651115,0.074411748,47759900,67529011000,5573,"1,420",0.100704225
POWR,60.0894000000,2.039220098,0.490383555,0.962260066,0.048434005,0.095040113,0.172389552,10879700,6605752500,1609,605,0.099321322
INDF,616.0000000000,1.930401982,0.51802682,1.074804246,0.046485305,0.096447909,0.109896561,17585000,110864717500,5575,"6,350",0.097007874
LSIP,110.0000000000,6.353150754,0.157402215,0.186805873,0.063916405,0.075856365,0.22510791,38353100,46877851000,4558,"1,220",0.090163934
KRAS,44.3951000000,1.126718904,0.887532815,7.891482407,0.015908121,0.141446775,0.03698075,13818100,6941940800,1294,505,0.087911089
PRIM,31.0800000000,6.67045396,0.149914834,0.176352724,0.090400441,0.106342805,0.205486974,23935700,8688937600,4198,354,0.08779661
CSIS,8.2600000000,2.131117484,0.469237387,0.884081463,0.020553497,0.038724464,0.189830336,89880300,8914201700,6610,96,0.086041667
ADRO,143.0700000000,2.547301952,0.392572227,0.646286266,0.073840693,0.121562919,0.204594339,267379500,475799887000,26493,"1,760",0.081289773
WEGE,15.7400000000,1.671738134,0.59817981,1.488675348,0.026271921,0.065382281,0.06185611,28848800,5660147400,1893,196,0.080306122
SIMP,36.3342194950,2.104672075,0.4751334,0.90524602,0.021839616,0.041609841,0.056560331,26788600,12332531400,2306,458,0.079332357
AALI,763.3400000000,3.257954193,0.306941087,0.442878781,0.052000957,0.075031078,0.085715377,3592900,34972410000,3670,"9,775",0.078091049
BBNI,416.0000000000,1.153376539,0.867019543,6.519901972,0.008453315,0.063568102,0.145788357,34557200,183922975000,6575,"5,375",0.077395349
ERAA,45.0000000000,2.250187915,0.444407328,0.799879752,0.071819613,0.129266668,0.025634272,44767400,27022749000,3214,605,0.074380165
BIPI,3.7055130000,1.704737316,0.58660064,1.418968426,0.01909009,0.046178326,0.419510802,310065200,15506092900,3161,50,0.07411026
DSNG,39.2300000000,1.876822592,0.532815411,1.140481562,0.030374442,0.065015933,0.08396543,46975200,24867860000,6470,540,0.072648148
ZYRX,35.3900000000,1.691121237,0.59132366,1.446924138,0.102571173,0.250983878,0.104429616,10686400,5600262500,1379,520,0.068057692
ASII,370.0000000000,2.372670523,0.421466019,0.728506938,0.052504148,0.090753784,0.113606767,44723000,242893772500,10827,"5,500",0.067272727
BMRI,412.3600000000,1.149337518,0.870066437,6.696240912,0.012853594,0.098924354,0.198846845,41406000,253094437500,7850,"6,150",0.067050407
GGRM,2149.0000000000,3.260786279,0.306674499,0.442323987,0.049663717,0.07163117,0.044906458,750300,24072950000,2024,"32,550",0.066021505
JPFA,129.0000000000,1.737628571,0.575496983,1.35569586,0.054576249,0.128565043,0.049275474,20880800,41312458000,5442,"1,975",0.065316456
DGNS,51.1800000000,5.46385697,0.183020896,0.224021515,0.261428173,0.319993708,0.255053339,10567600,8367681500,1674,805,0.06357764
ALDO,48.9100000000,2.406857052,0.415479598,0.71080427,0.062073857,0.106196219,0.066708663,7782300,6129616500,1221,785,0.062305732
LINK,250.0000000000,2.182390958,0.458213042,0.84574395,0.07395905,0.136509469,0.211901956,1874200,7495157000,896,"4,030",0.062034739
LPPF,168.0000000000,1.224460773,0.816686024,4.45512143,0.075955806,0.414348146,0.107397163,6077000,16888267000,2619,"2,800",0.06
BHIT ,4.8719933540,2.372242528,0.421542059,0.728734156,0.027544538,0.047617184,0.142056731,240057900,20059206600,6635,82,0.059414553
CTRA,55.0000000000,1.865180901,0.536141025,1.155827641,0.031666935,0.068268454,0.190771236,48413200,44815356000,5657,935,0.058823529
ARCI,32.9061000000,1.456685546,0.686489958,2.189690495,0.084055835,0.268112098,0.242415851,9560600,5397186000,232,565,0.058240885
TAPG,36.0000000000,2.556156599,0.391212338,0.642608848,0.061340616,0.100758639,0.165358858,70637200,47211318000,4240,660,0.054545455
TINS,82.0000000000,1.680329791,0.59512127,1.469875364,0.044336152,0.109504768,0.063102372,27916600,42327637500,5011,"1,510",0.054304636
BDMN ,144.1600000000,1.311840483,0.762287803,3.206767738,0.007800577,0.032815218,0.090940552,7435100,19730916000,2517,"2,660",0.054195489
BFIN ,53.0000000000,1.964355836,0.509072736,1.036961631,0.054353522,0.110716038,0.266894843,31949800,32272227000,7747,"1,005",0.052736318
SAME,24.5900000000,14.81818517,0.067484647,0.072368404,0.03239789,0.034742474,0.148646102,44719900,21534696200,2573,476,0.051659664
TLKM,190.51,1.930501931,0.518,0.518,0.104109533,0.104109533,0.242005602,153853900,558863230000,17652,"3,690",0.051628726
ICBP,426.0000000000,1.970388999,0.507513999,1.030514568,0.056676585,0.115082631,0.142690874,5656600,47047157500,2732,"8,350",0.051017964
MBSS,34.3368000000,8.959106808,0.11161827,0.125642239,0.025295469,0.028473648,0.085540308,22877900,15912080000,3136,695,0.049405468
MTDL,143.1300000000,2.185828945,0.457492341,0.843291947,0.078366162,0.144451715,0.043826859,2218900,6444339000,879,"2,900",0.049355172
HMSP,48.0000000000,2.277120747,0.439151064,0.783011318,0.113698514,0.202725738,0.076593322,37822100,38491629000,5385,"1,030",0.046601942
AKRA,201.9000000000,2.060477383,0.485324424,0.942971549,0.03924712,0.076256037,0.04848891,12732700,54184145000,6625,"4,360",0.046307339
BSDE,44.5100000000,2.434010336,0.410844599,0.697345043,0.017177621,0.029156349,0.199798975,38601100,38939546500,4429,"1,000",0.04451
BALI,34.0500000000,1.885010736,0.530500957,1.129929796,0.027321994,0.058193929,0.192900762,10183500,7870560000,1465,770,0.044220779
HEAL,51.3400000000,2.254872568,0.443484042,0.796893665,0.134079644,0.240926863,0.217072197,10015200,11664044500,3551,"1,170",0.043880342
IPCM,17.1600000000,4.798706366,0.208389496,0.263247512,0.063513455,0.080233214,0.150887006,28573200,11379787400,6804,408,0.042058824
SCMA,84.1300000000,3.51059254,0.284852198,0.398312344,0.155571514,0.217537568,0.247599739,16199600,32193309000,2944,"2,010",0.041855721
