NAMA PERUSAHAAN,LABA_PER_SAHAM,CURRENT RATIO,DEBT RATIO ,DEBT TO EQUITY RATIO,ROA,ROE,NPM
AALI,763.3400000000,3.257954193,0.306941087,0.442878781,0.052000957,0.075031078,0.085715377
ABDA,187.0000000000,2.379368382,0.420279603,0.724969495,0.046449159,0.080123383,0.25527379
ABMM,490.8731700000,3.690005932,0.271002274,8846.391603,1.21447E-05,0.396443935,0.154696357
ACES,18.8700000000,2.896263471,0.345272455,0.762996889,0.029331914,0.064818837,0.068982155
ACST,-60.0000000000,1.879434812,0.532074852,1.137093946,-0.128936006,-0.275548359,-0.360613685
ADCP,6.0000000000,1.541499831,0.648718852,1.846722646,0.021804271,0.062070712,0.231263769
ADES,242.0000000000,3.758533729,0.266061202,0.362511427,0.124318482,0.169385352,0.231876742
ADHI,4.7796874333,1.159206075,0.862659385,6.281167343,0.000564551,0.004110592,0.003130355
ADMF,753.0000000000,1.527373928,0.654718522,1.896187785,0.031358261,0.090819412,0.120123441
ADMG,15.7377000000,5.3029206,0.18857533,0.232400291,0.020203956,0.024899361,0.030204185
ADRO,143.0700000000,2.547301952,0.392572227,0.646286266,0.073840693,0.121562919,0.204594339
AGAR,5.2000000000,2.483833471,0.40260348,0.673930073,0.02780188,0.046538403,0.018359307
AGII,56.6800000000,1.789375885,0.558854072,1.2668236,0.022217102,0.05036225,0.08621347
AGRO,-84.4500000000,1.139816215,0.877334422,7.152246274,-0.089206985,-0.727237308,-1.421457459
AGRS,-0.2100000000,1.184944893,0.843921102,5.407016023,-0.000160605,-0.001028999,-0.002963616
AHAP,0.8200000000,0.035510887,28.16037805,3.335604142,0.142048221,0.016825649,0.003705577
AIMS,3.1800000000,2.016404624,0.495932209,0.983860144,0.026206537,0.051990104,0.025357051
AISA,1.9300000000,1.761230012,0.56778501,1.313663393,0.00921549,0.021321542,0.0164549
AKKU,-0.3603944404,0.268253725,3.727814027,0.241841938,-0.060794231,-0.003944026,-1.568570002
AKPI,220.0000000000,1.821941498,0.548865044,1.216631601,0.041863821,0.092796669,0.068074811
AKRA,201.9000000000,2.060477383,0.485324424,0.942971549,0.03924712,0.076256037,0.04848891
AKSI,32.9700000000,1.932291421,0.517520281,1.072625981,0.087837741,0.182054784,0.064082876
ALDO,48.9100000000,2.406857052,0.415479598,0.71080427,0.062073857,0.106196219,0.066708663
ALKA,17.3300000000,1.331529528,0.751016015,3.016322573,0.035949399,0.144384383,0.008714469
ALMI,-90.1341000000,0.781016164,1.280383232,-4.566547093,-0.047496397,0.169398137,-0.051517779
ALTO,2.9900000000,1.50463758,0.664611873,1.981620157,-0.006006408,-0.017908827,-0.024753047
AMAG,21.5100000000,1.59882493,0.625459349,1.669937155,0.022062319,0.058905005,0.062827237
AMAN,1.1100000000,3.475338344,0.287741768,0.403985177,0.0051806,0.007273485,0.086579458
AMAR,0.0700000000,1.370058848,0.729895655,2.70227291,0.000143522,0.000531358,0.001186984
AMIN,4.9100000000,1.877842991,0.532525885,1.139155875,0.016897184,0.03614571,0.04192324
AMRT,26.6600000000,0.743985169,1.344112815,2.189101023,0.083399715,0.135829671,0.018029607
ANDI,0.5500000000,2.165600126,0.461765766,0.857927155,0.008125915,0.015097357,0.015300753
ANJT,112.4959410000,2.857966946,0.349899078,0.538222708,0.040482568,0.062271205,0.136117473
ANTM,71.1800000000,2.570112463,0.389088032,0.636897053,0.051363861,0.084077352,0.064603534
APEX,15.7377000000,1.590837473,0.628599726,1.692512823,0.008499628,0.022885358,0.071313543
APIC,10.8100000000,1.522427232,0.656845844,1.914142179,0.021483698,0.062606549,0.080732527
APII,16.0000000000,3.060553703,0.326738263,0.485306449,0.035199101,0.052281452,0.095245079
APLI,8.8100000000,2.064771221,0.484315158,0.939168885,0.028360521,0.05499584,0.040565304
APLN,-20.4800000000,1.559074439,0.641406192,1.788670577,-0.010253946,-0.028594878,-0.107297339
ARCI,32.9061000000,1.456685546,0.686489958,2.189690495,0.084055835,0.268112098,0.242415851
ARGO,-143.2100000000,0.451903357,2.212862517,-1.824495758,-0.052141222,0.042990217,-1.21528706
ARII,55.7973000000,1.111915541,0.899348883,8.935309557,0.00272723,0.027095878,0.015283906
ARKA,0.3700000000,1.251859366,0.798811773,3.970469772,0.001619607,0.008050205,0.015004694
ARNA,47.3300000000,2.955399666,0.338363712,0.511404404,0.160413422,0.242449553,0.18630654
ARTA,-8.0000000000,8.596755587,0.116322953,0.131635142,-0.025000452,-0.028291391,-0.501505773
ARTI,-6.5700000000,0.794734782,1.258281408,-4.871745968,-0.064180058,0.248488881,-16.44692318
ARTO,-2.4900000000,3.858105629,0.259194562,0.3498821,-0.002969962,-0.004009099,-0.08466698
ASBI,-9.5170959797,1.550133575,0.645105697,1.817740355,-0.003832939,-0.010800226,-0.006837848
ASDF,807.0000000000,1.298166765,0.770317055,3.353827846,0.023293246,0.101414782,0.183976973
ASDM,50.0000000000,1.534116317,0.651841056,1.872251359,0.00967132,0.027778461,0.007687652
ASGR,27.4300000000,3.059319682,0.326870057,0.485597262,0.015679191,0.023292963,0.01850442
ASII,370.0000000000,2.372670523,0.421466019,0.728506938,0.052504148,0.090753784,0.113606767
ASJT,0.7000000000,2.369715405,0.421991602,0.730078669,0.001804019,0.003121095,0.005103425
ASMI,5.2700000000,2.041738799,0.489778614,0.962935095,0.045331468,0.089124474,0.091801078
ASPI,-0.1400000000,3.451387823,0.28973852,0.407932189,-0.001054646,-0.00148487,-0.017870016
ASRI,-7.0700000000,1.741781471,0.574124835,1.348105931,-0.006568891,-0.015424453,-0.080453653
ASRM,181.6600000000,1.473501401,0.678655615,2.111926171,0.032618026,0.101504888,0.037307221
ASSA,22.5500000000,1.587040527,0.630103632,1.703459904,0.011788288,0.031869163,0.019972208
ATAP,4.3600000000,5.137746354,0.194637869,0.241677453,0.056114132,0.069675653,0.113773522
ATIC,-32.2100000000,1.084545195,0.922045485,11.82799332,-0.011805434,-0.151440023,-0.011432227
AUTO,92.0000000000,3.299656402,0.303061858,0.434847571,0.027436749,0.039367552,0.04138192
BABP,0.2300000000,1.163048462,0.8598094,6.133145865,0.000425502,0.003035169,0.006721383
BACA,2.9600000000,1.081447977,0.924686181,12.27777581,0.000947323,0.012578337,0.014672094
BAJA,67.8351005906,1.404325058,0.712085848,2.473257546,0.14180393,0.492521571,0.103478984
BALI,34.0500000000,1.885010736,0.530500957,1.129929796,0.027321994,0.058193929,0.192900762
BANK,-6.8199078662,14.53307603,0.068808558,0.07389303,-0.051358191,-0.055153203,-2.062389621
BAPA,-4.1600000000,16.36095512,0.061121126,0.065100119,-0.02022263,-0.021539126,-0.811976079
BAPI,-0.7700000000,3.121657364,0.320342652,0.471329639,-0.006920414,-0.01018221,-1.07506342
BAYU,-44.0400000000,2.387990114,0.418762203,0.720466227,-0.022732509,-0.039110513,-0.059193953
BBCA,941.0000000000,1.203785598,0.830712713,4.907118114,0.019851013,0.117262279,0.355964262
BBHI,18.8658260693,1.229367401,0.813426482,4.359817469,0.01242745,0.066608863,0.96683873
BBKP,-11.0494666679,1.099664157,0.90936855,10.03369745,-0.004044908,-0.044630292,-0.079621386
BBLD,7.4800000000,1.506431129,0.66382059,1.974602159,0.003377201,0.010045829,0.030138791
BBMD ,86.5400000000,1.345231113,0.74336669,2.896610307,0.021523709,0.083869505,0.351243386
BBNI ,416.0000000000,1.153376539,0.867019543,6.519901972,0.008453315,0.063568102,0.145788357
BBRI ,154.0000000000,1.209245963,0.82696162,4.779064726,0.011773279,0.068038541,0.173258812
BBRM,0.7153500000,1.288700928,0.775975231,3.463792122,0.007972158,0.035586058,0.049896488
BBSI ,20.0000000000,3.046319537,0.328264973,0.488682233,0.029753914,0.044294123,0.499338764
BBSS,-0.1700000000,63.14394753,0.015836831,0.016091672,-0.003205959,-0.003257548,-0.120614896
BBTN ,143.0000000000,1.059212952,0.944097217,16.88819693,0.004117302,0.073651115,0.074411748
BBYB ,-44.9700000000,1.15848228,0.863198357,6.309853711,-0.03273873,-0.239315324,-0.472167347
BCAP ,0.5500000000,1.358772654,0.735958291,2.787280438,0.001211765,0.004589296,0.01361397
BCIP,0.4800000000,1.880167275,0.53186757,1.136147671,0.00087462,0.001868317,0.022864535
BDKI ,127.2420000000,1.190801108,0.8397708,5.241059699,0.009509252,0.059347809,0.166752829
BDMN ,144.1600000000,1.311840483,0.762287803,3.206767738,0.007800577,0.032815218,0.090940552
BEBS,9.0000000000,4.84830472,0.206257663,0.259854682,0.092050612,0.115970394,0.224129423
BEEF,-55.0000000000,0.87465649,1.143305985,-7.978075621,0.154701693,-1.07952011,0.837361193
BEKS ,-332.0000000000,1.239754983,0.806610995,4.170924788,-0.020188192,-0.104391624,-0.621767982
BELL,0.3872035964,1.954600438,0.511613515,1.047558706,0.008972437,0.018371591,0.016275712
BESS,20.4800000000,2.657563408,0.376284531,0.603295171,0.124240584,0.199194328,0.281015041
BEST,-9.4000000000,3.378082429,0.296025932,0.420506871,-0.014958999,-0.021249361,-0.771724899
BFIN ,53.0000000000,1.964355836,0.509072736,1.036961631,0.054353522,0.110716038,0.266894843
BGTG ,0.5500000000,1.174305997,0.8515668,5.737037268,0.000797401,0.005372121,0.023102385
BHAT ,1.2500000000,4.067252408,0.245866226,0.326024685,0.008968654,0.011892657,0.074394569
BHIT ,4.8719933540,2.372242528,0.421542059,0.728734156,0.027544538,0.047617184,0.142056731
BIKA ,14.8000000000,0.926710554,1.079085584,-13.64452944,0.032062144,-0.40541072,0.293499349
BIMA,-40.0000000000,1.030071971,0.970805952,33.25355703,-0.103554929,-3.547124666,-0.812205587
BINA ,5.1700000000,1.111963256,0.899310291,8.931501563,0.002458944,0.024421008,0.050596196
BIPI,3.7055130000,1.704737316,0.58660064,1.418968426,0.01909009,0.046178326,0.419510802
BIPP,-0.5000000000,2.244966164,0.445441012,0.803234681,0.005218831,0.009410777,0.041228375
BIRD,-26.0000000000,4.286287693,0.233302119,0.304294722,-0.010012788,-0.013059627,-0.045746143
BISI,75.0000000000,5.719702675,0.174834263,0.211877754,0.072607466,0.087991373,0.152428694
BJBR ,144.2200000000,1.084402941,0.922166441,11.84792843,0.008870366,0.113965825,0.128866981
BJTM ,78.9400000000,1.136977686,0.879524737,8.415822869,0.01173628,0.112299806,0.225484406
BKDP,-4.1300000000,2.371723862,0.421634245,0.729009699,-0.039841048,-0.068885558,-2.5016882
BKSL,4.6700000000,2.63038676,0.38017223,0.613351399,0.017585377,0.028371393,0.114436538
BKSW ,36.4500000000,1.261980776,0.792405098,3.817073969,-0.000735768,-0.003544249,-0.016080982
BLTA,2.4321900000,1.899478125,0.526460393,1.111755775,0.06600036,0.139376641,0.335007135
