NAMA PERUSAHAAN,JUMLAH ASET,JUMLAH LIABILITAS,JUMLAH EKUITAS,PENDAPATAN,LABA BRUTO,LABA SEBELUM HUTANG,LABA SETELAH HUTANG,LABA PER SAHAM,ARUS KAS DARI AKTIVITAS OPERASI,ARUS KAS DARI AKTIVITAS INVESTASI,ARUS KAS DARI AKTIVITAS PENDANAAN,KAS DAN SETARA KAS PADA AKHIR PERIODE
NOBU,16356627000000,14803757000000,1552870000000,750978000000,58259000000,58259000000,45976000000,10.36,1049655000000,-529804000000,-5102000000,2166149000000
NPGF,400697410209,189620303207,211077107002,213010504943,36340491063,6142469999,4798421244,1.48,23356987928,-77211571351,52157338096,280870622
NRCA,2185464135034,1052392651372,1133071483662,1024619692221,114890627755,45791243109,16172286472,7,-80066935902,-585496998,-29188245031,467675180564
NZIA,637737942856,127442127354,510295815502,80923788660,27051969512,2976135669,2009182112,0.1,21211248244,-8972159392,-18900981443,38070982950
OASA,48693132490,1247083980,47446048510,3331580000,1028126226,1139185415,1035116761,2.89,268804833,1172776300,0,47145475478
OILS,133517152741,58339708639,75177444102,252478187657,17198865601,5276458265,4059499045,17.11,-43630639877,-1204857443,-47657202287,3379552670
OKAS,2318321402499,2332668533634,-14347131135,1105974664815,225289524828,-34712401671,-60149374944,-31.40651854,180892185498,-21343554582,-154135133949,56718613572
OMRE,4105336724506,698723866805,3406612857701,47229535346,13715084334,-142991772386,-142703795604,-81.62,-84646838079,-115449949,89007137734,14902683998
OPMS,93868479199,775206231,93093272968,32551998333,2683277467,-438902201,-473122375,0.44,-9229987021,-18473707833,-96713142,34244112455
PADI,273621399520,26806645818,246814753702,5248823852,-47468490860,-47468490860,-47483577167,-4,670971777,667659928,-1125000000,5858692004
PALM,4145606987000,144840967000,4000766020000,260937571000,125587185000,227677166000,209026014000,29.54058961,104278549000,-16286902000,-54740000000,86095157000
PAMG,578912251407,152456400521,426455850886,31553490548,13576885544,-8935374359,-8956788935,-2.87,-9750860875,-17489802042,0,1415571174
PANI,83472027886,42477687060,40994340826,189834251053,13232413702,1316047007,1029451770,24.8,1897016893,-893226893,-3833789289,1517109421
PANR,1500598589000,912403301000,588195288000,53977133000,-1309588000,-148467488000,-120401390000,-113.98,-98051481000,10188350000,-101808884000,31808280000
PANS,2730899414678,1332230623135,1398668791543,316965705032,131699720665,131699720665,100852017390,135.13,113034296242,-1682863021,-115685792752,13787096045
PBID,2646015023000,585200945000,2060814078000,3234772046000,646736671000,416989449000,322684656000,171.08,10369969000,-67963442000,-96317104000,306552894
PBSA,660141872504,126753304186,533388568318,150258658940,66747779793,41842498662,37976356276,25.5,52350352052,64384933624,-45799987801,130515806055
PCAR,106995273329,41868122325,65127151004,107819040026,16651393765,2543475734,2543475734,1.5,-2917458370,-3171344339,-154698754,8932899296
PDES,312469323395,245856926194,66612397201,4676033060,-13990978686,-35701028698,-28346588638,-38.7,-11683232536,2576800869,3865048947,1381681177
PEGE,474733260793,56825791284,417907469509,-68331993464,-77285534713,-77285534713,-77992127431,-27.53,-92879577543,-927173678,0,78312648285
PEHA,1909042666000,1167066862000,741975804000,767177660000,380766518000,14072538000,11114195000,13,89210710000,-4310211000,-81769319000,63152105000
PGAS,31446428339307,60829179989385,47073517874916,32251794792846,10181617196187,5535136297095,4720888730385,143.07,6670715020617,-836511361839,-2050465591122,20508367361625
PGLI,97187039291,31679674723,65507364568,9934025980,4144611759,9889546756,7319797447,15.59,336230597,-469222178,301409535,7575840736
PGUN,1727245832088,985056927727,742188904361,559004666172,74159816355,-10712330460,-1736641474,-0.35,64197563818,358100797,-67603066212,1343394228
PICO,1101863951798,897315484843,204548466955,325839897417,21911007582,-31382761788,-31393742108,56.23,687542809,-36969500,2734781495,9976524488
PJAA,3968281023454,2402974436383,1565306587071,244218093574,43862571688,-169447396574,-193598957488,-121,-53758043766,-96190910092,116986284909,300191764454
PKPK,66964744000,29109270000,37855474000,2080710000,-60243000,-3691225000,-2536029000,-4.23,-214708000,0,-72184000,59969000
PLIN,11853864953000,1125382365000,10728482588000,619329970000,450365465000,386742691000,378931496000,107.17,191354475000,-89469138000,-302313352000,575738517000
PMJS,3384915245136,990446646114,2394468599022,6702167259202,437705650447,178025626069,128438921588,8,-171469435962,144772129889,-154626342121,341682467397
PMMP,3700835684025,2658889079082,1041946604943,1841796250668,409396078323,136382693595,122108585388,51.5052,123943443831,-61298670561,-55768814763,30011007015
PNBN,199927090000000,151815231000000,48111859000000,13161259000000,2912152000000,2912152000000,2294064000000,93.73,503513000000,2697613000000,-6691888000000,11077281000000
PNBS,12296417186000,879728634000,3119450757000,1083467333000,3158440000,3158440000,2463583000,0.06,-653523418000,-2398718000,0,367683996000
PNGO,1453796285502,791784892638,662011392864,1543299781161,370658989591,219541858110,175792007511,224.65,187516683555,-51055856031,-186946829405,8043115945
PNIN,34984626000000,4649637000000,30288637000000,2245535000000,362354000000,362354000000,1399763000000,192.77,111226000000,703132000000,-128104000000,7232246000000
PNLF,32928482000000,4650116000000,28269736000000,3338955000000,1448360000000,1448360000000,1446658000000,41.54,77340000000,605614000000,-161632000000,6136755000000
PNMP,38787329227103,32670430662857,6116898564246,6052731962109,776775420930,776775420930,524639621172,183139,-5674919893700,-205154363178,5443824350328,4025872678740
PNSE,381204132747,211615953470,169588179277,36937625609,9246356969,-42838233875,-43585682378,-40,-13727652053,-1169658132,9614715591,10725709177
POLA,296835795017,3820352137,293015442880,11683196615,-6730299908,-6730299908,-6730299908,2.011488737,52851571125,-27282800,-3688862685,66869007513
POLI,2444614825902,743475902265,1701138923637,129267398004,45148076947,16356828412,8578442085,4.59,65108000608,-5377872440,-73482344767,18202871762
POLL,6940761999355,5301972753374,1638789245981,602192265921,307280523386,170267397026,155283686326,8.64,70213011090,-195004032195,119884541953,27363447596
POLU,214051926236,73195565539,140856360697,72837177273,-12212747570,-20058476595,-20058476595,-27,674227770,87346319995,-45928252036,51355812900
POLY,3343231746894,17169361001190,-13826129254296,3796366341504,307974513594,-31498148130,-50303941359,-14.307,-37644149190,-37450275033,-151053306,51422391084
POOL,477432078565,28410630906,449021447659,25203541133,25203541133,-110852938452,-110852938452,-46.67,1696366058,50388265504,-3188095575,69256725955
PORT,2043606765000,1195660673000,847946092000,994092205000,136465072000,-45068588000,-73036066000,-15.77,289550956000,-9382025000,-210901403000,283803503000
POSA,955649534824,899276091915,56373442909,39960092859,1339572954,-67807617908,-67992872972,-7.98,12707379831,-3995376484,-2807158241,14989114904
POWR,19536838193991,9580544158389,9956294035602,5489006136846,2245126261140,1263919867320,946247310855,60.0894,1465887737439,-75904872852,-605870847327,4663965641169
PPGD,66267919000000,40295788000000,25972131000000,15455197000000,2666789000000,2666789000000,2024906000000,0.32,7513393000000,-565748000000,-6928716000000,491766000000
PPLN,1606820149000000,650177807000000,956642342000000,269870513000000,32506506000000,17208214000000,12451439000000,91526,27222127000000,-37006304000000,-4529496000000,40497000000000
PPRE,6990236635926,4061112929289,2929123706637,1887149565129,320675183905,161249028467,107434637573,5.5,247493236055,-18893740366,-182811939235,316618786618
PPRO,19608604061110,15085814118076,4522789943034,847766303803,105262874543,36120200854,13243792803,0.2,-13725854872,-1087602810225,1073272423143,372654122805
PRAS,1651882804458,1157657905015,494224899443,218793390271,34457322321,2761369797,1885333333,2.7,36391581006,-3564873304,-24885242460,11223118352
PRDA,2611933000000,470999000000,2140934000000,1990644000000,1232899000000,648417000000,511087000000,545.16,591730000000,-107983000000,-169525000000,679210000000
PRIM,1170069689993,175410803664,994658886329,514751928936,183000417484,132629641969,105774816043,31.08,-18119514966,-10511330793,-649428236,12575226272
PSAB,13313706523221,7807319241285,5506387281936,2743806059997,1115590313673,2896938588,-72625722759,-8.5842,1457364614022,-704831164539,-795878480349,63280848183
PSDN,726553030342,669142106632,57410923710,662546867432,38333687030,-58901227886,-62740617187,-46.2,45621582488,-4951081085,-22434311497,33236363330
PSGO,3531607703002,2259938196512,1271669506490,1070933662721,257983481047,75368581919,61441543755,3.26,165443956661,-18364400701,-102180501604,245510493495
PSKT,424008356433,66805950821,357202405612,32383539874,15734295126,-12231713699,-11958554806,-1.16,-2386155111,-702139659,-1083695655,5107110970
PSSI,2076166127949,549200934783,1526965193166,1078051335240,341772883956,246754803366,220562162967,40.0596,327463294389,-103670367603,-236968071402,166862870061
PTBA,32191140000000,11167411000000,21023729000000,19381819000000,8250906000000,6445965000000,4853384000000,426,6142946000000,-5064641000000,-600357000000,4818597000000
PTDU,322850778079,231952115210,90898662869,48496555481,-640775423,-2882653002,-2882653002,-1.92,-79332687030,-21011113588,77889772715,6791040250
PTIS,521669970750,521669970750,237877857750,119142297750,38480714250,773176500,773176500,1.2825,25500617250,-11106692250,-10177563750,8696618250
PTPP,56194312487817,41992160488672,14202151999145,11211758069019,1421161891881,595168683986,204762562676,21,-1017900188211,-1451711585134,271842009745,5313767158866
PTPW,520007549187,102294183836,417713365351,228223492890,75813198652,36044604071,36030976171,41.03,74839345843,-52262002731,-3715596533,19002775190
PTSN,2271417104787,1027251556182,1244165548605,1626790668975,237474667965,80185956462,61392195420,11.58867,244404621090,-273460063575,40272030336,123855570237
PTSP,314759815000,190704735000,124055080000,291426865000,172624913000,-22782197000,-22960427000,-104.06,24552709000,8234027000,-55762380000,33090293000
PUDP,503954439448,199419922450,304534516998,33975802262,25022735127,-11790230530,-12817762298,-38.89,-8569497541,-65450672,4588354951,10480243773
PURA,10480243773,42698848324,430280414401,87452470540,17340550587,8105222975,6580877620,1.14,7979053216,-45470020621,13635238296,3554029018
PURE,699116927130,692111223653,7005703477,15391108560,-12833049927,-74957976288,-69254566048,50,-14168074435,-1022679057,14541157742,1183177199
PURI,214927289124,91208778991,123718510133,53605793729,19759202260,5763894843,5763014843,7.42,7791475587,-183730977,615296824,14147341691
PWON,28675013473000,10274912441000,18400101032000,3788267721000,1726622029000,812687247000,800001519000,14.99128842,1525566417000,-208537414000,1719239301000,5935276861000
PYFA,627532094552,444580799165,182951295387,406374387971,199537368211,21012885597,15964143325,29.84,-18891548482,-236376562150,287796837795,42296660421
PZZA,2116400629665,1012518614213,1103882015452,2503301848000,1641784371110,20049838804,13309425872,4.4,258763761411,-194445830136,-89063108792,36155579134
RAJA,3524724196884,1766192811999,1758531384885,1040417987835,145957939485,28525496898,17108854266,0.42921,-42463476447,-1068559956984,1147548546309,591724328946
RALS,4859437000000,1286880000000,3572557000000,1978155000000,897190000000,107687000000,102817000000,15.62,342777000000,-564706000000,-373092000000,959207000000
RANC,1406418404548,881945904610,524472499938,2181426370563,515281801336,30508997369,27426375258,17,-11658297830,-144898825657,-43089167103,78873470482
RBMS,733158568414,198941514446,534217053968,21047183115,6459097649,-25284235230,-25533054605,-15.47,2167982995,-12309243958,-4624576173,29388836083
RDTX,3135467708683,317849136570,2817618572113,292938152208,159097592962,147456340606,117480046482,437.05,282955624638,-137521438678,-32986337369,303584209568
REAL,352605173658,1620131215,350985042443,11906329456,4833288807,1301293120,1003634884,0.15,-741244371,0,0,2750753277
RELI,632557025602,133339682459,499217343143,48520438729,23328027841,23328027841,20873200322,11.6,23681647780,-32357474150,-25020358,124574451838
RICY,1725443278190,1404529538538,320913739652,1024877392270,146931497889,-50248520741,-52056843603,-78.66,43242688188,-3920304670,-39302594475,43640363883
